id_itens;data_compra;status_id;from_iata;to_iata;tipo_viagem;data_ida;data_volta;valor_passagem;milhas_usadas;adultos;criancas;
48;2019-08-18;3;GIG;MCO;Ida e volta;2019-08-20 06:30:00;2019-08-31 15:05:00;R$ 4.438;0;1;0;
49;2019-08-15;1;GIG;LIS;Somente ida;2019-08-20 15:40:00;;R$ 2.942;99.500;1;0;
50;2019-08-09;3;EZE;GIG;Somente ida;2019-08-20 17:15:00;;R$ 1.420;32.400;2;0;
51;2019-08-09;3;EZE;GIG;Somente ida;2019-08-20 17:15:00;;R$ 1.610;32.400;2;0;
52;2019-08-10;1;EZE;GIG;Somente ida;2019-08-20 17:15:00;;R$ 1.609;32.400;2;0;
53;2019-08-18;2;GIG;LIS;Somente ida;2019-08-20 19:10:00;;R$ 1.681;45.500;1;0;
54;2019-08-19;2;GIG;LIS;Somente ida;2019-08-20 19:10:00;;R$ 1.563;45.500;1;0;
55;2019-08-12;2;SCL;EZE;Somente ida;2019-08-20 20:25:00;;R$ 1.652;82.700;1;0;
56;2019-08-19;2;LIS;GIG;Somente ida;2019-08-21 16:30:00;;R$ 1.621;45.500;1;0;
57;2019-08-19;2;LIS;GIG;Somente ida;2019-08-21 16:30:00;;R$ 1.619;45.500;1;0;
58;2019-08-18;1;YYZ;GIG;Somente ida;2019-08-21 17:59:00;;R$ 1.613;40.000;1;0;
59;2019-08-10;1;LIS;GIG;Somente ida;2019-08-21 23:00:00;;R$ 2.661;0;1;0;
60;2019-08-19;2;GIG;BOG;Somente ida;2019-08-22 06:30:00;;R$ 2.098;0;1;1;
61;2019-08-19;3;GIG;BOG;Somente ida;2019-08-22 06:30:00;;R$ 2.098;0;1;1;
62;2019-08-14;1;YYZ;MIA;Somente ida;2019-08-22 16:30:00;;R$ 1.203;34.000;2;0;
63;2019-08-17;1;GIG;EZE;Somente ida;2019-08-22 19:30:00;;R$ 1.137;42.000;1;0;
64;2019-08-17;2;GIG;MCO;Somente ida;2019-08-22 20:40:00;;R$ 9.645;0;2;2;
65;2019-08-20;1;GIG;MCO;Somente ida;2019-08-22 21:05:00;;R$ 9.340;0;2;2;
66;2019-08-20;3;GIG;LIS;Somente ida;2019-08-22 21:10:00;;R$ 3.000;99.500;1;0;
67;2019-08-19;5;GIG;LIS;Somente ida;2019-08-22 21:10:00;;R$ 2.795;99.500;1;0;
68;2019-08-12;1;GIG;SCL;Ida e volta;2019-08-22 23:00:00;2019-08-28 04:03:00;R$ 1.409;30.000;1;0;
69;2019-08-11;1;GIG;SCL;Ida e volta;2019-08-22 23:00:00;2019-08-27 04:03:00;R$ 2.810;60.000;2;0;
70;2019-08-21;1;LIS;GIG;Somente ida;2019-08-23 12:05:00;;R$ 0;79.000;1;0;
71;2019-08-01;1;IOS;GIG;Somente ida;2019-08-23 15:50:00;;R$ 393;0;1;0;
72;2019-08-22;1;BCN;GIG;Somente ida;2019-08-23 18:50:00;;R$ 5.078;136.500;3;0;
73;2019-08-02;1;GIG;EZE;Ida e volta;2019-08-23 19:30:00;2019-08-26 10:35:00;R$ 1.391;0;1;0;
74;2019-08-07;1;GIG;SCL;Ida e volta;2019-08-23 23:00:00;2019-08-26 15:45:00;R$ 3.036;72.200;1;1;
75;2019-08-10;1;GIG;MIA;Ida e volta;2019-08-24 06:30:00;2019-09-01 16:15:00;R$ 2.362;0;1;0;
76;2019-08-15;1;GIG;MCO;Somente ida;2019-08-24 11:30:00;;R$ 1.862;60.000;1;0;
77;2019-08-04;1;GIG;EZE;Ida e volta;2019-08-24 14:05:00;2019-08-30 17:15:00;R$ 2.480;64.800;2;0;
78;2019-08-19;3;LIS;GIG;Somente ida;2019-08-24 16:30:00;;R$ 1.706;45.500;1;0;
79;2019-08-19;3;LIS;GIG;Somente ida;2019-08-24 16:30:00;;R$ 1.706;45.500;1;0;
80;2019-08-22;2;LIS;GIG;Somente ida;2019-08-24 16:30:00;;R$ 1.714;45.500;1;0;
81;2019-08-19;3;LIS;GIG;Somente ida;2019-08-24 16:30:00;;R$ 1.706;45.500;1;0;
82;2019-08-19;3;LIS;GIG;Somente ida;2019-08-24 16:30:00;;R$ 1.706;45.500;1;0;
83;2019-08-04;1;GIG;BOG;Somente ida;2019-08-24 23:00:00;;R$ 863;17.000;1;0;
84;2019-08-16;1;LIS;GIG;Somente ida;2019-08-24 23:30:00;;R$ 2.386;79.000;1;0;
85;2019-08-12;1;GIG;IOS;Ida e volta;2019-08-25 10:40:00;2019-08-30 15:50:00;R$ 3.052;0;2;0;
86;2019-08-17;1;GIG;EZE;Somente ida;2019-08-25 17:10:00;;R$ 512;16.000;1;0;
87;2019-08-16;3;GIG;EZE;Somente ida;2019-08-25 17:10:00;;R$ 729;0;1;0;
88;2019-08-09;1;GIG;BOG;Ida e volta;2019-08-26 05:30:00;2019-08-29 21:15:00;R$ 3.400;0;2;0;
89;2019-08-11;2;GIG;MCO;Ida e volta;2019-08-26 06:30:00;2019-09-04 15:05:00;R$ 6.076;0;2;0;
90;2019-08-05;1;GIG;IOS;Somente ida;2019-08-26 08:45:00;;R$ 375;12.000;1;0;
91;2019-08-13;1;GIG;SCL;Ida e volta;2019-08-26 10:55:00;2019-08-31 05:00:00;R$ 1.286;0;1;0;
92;2019-08-06;1;GIG;SCL;Ida e volta;2019-08-26 10:55:00;2019-08-31 13:39:00;R$ 1.621;32.000;1;0;
93;2019-08-10;1;GIG;MIA;Somente ida;2019-08-26 11:30:00;;R$ 1.496;54.000;1;0;
94;2019-08-22;2;GIG;RAO;Somente ida;2019-08-26 13:10:00;;R$ 742;0;1;0;
95;2019-08-25;2;LIS;GIG;Somente ida;2019-08-26 16:30:00;;R$ 1.705;45.500;1;0;
96;2019-08-25;2;LIS;GIG;Somente ida;2019-08-26 16:30:00;;R$ 3.411;91.000;2;0;
97;2019-08-10;1;GIG;FEN;Ida e volta;2019-08-26 22:00:00;2019-08-30 15:40:00;R$ 1.806;0;1;0;
98;2019-08-23;2;MIA;GIG;Somente ida;2019-08-26 22:45:00;;R$ 2.700;80.000;1;0;
99;2019-08-22;1;MIA;GIG;Somente ida;2019-08-26 22:55:00;;R$ 2.787;76.000;1;1;
100;2019-08-13;2;MIA;GIG;Somente ida;2019-08-26 22:55:00;;R$ 1.695;40.000;1;0;
101;2019-08-23;2;MIA;GIG;Somente ida;2019-08-26 22:55:00;;R$ 1.357;40.000;1;0;
102;2019-08-12;3;LIS;GIG;Somente ida;2019-08-26 23:30:00;;R$ 2.655;79.000;1;0;
103;2019-08-24;1;RAO;EZE;Somente ida;2019-08-27 06:05:00;;R$ 782;0;1;0;
104;2019-08-05;1;RAO;GIG;Somente ida;2019-08-27 13:40:00;;R$ 323;6.655;1;0;
105;2019-08-26;2;LIS;GIG;Somente ida;2019-08-27 16:30:00;;R$ 0;91.000;2;0;
106;2019-08-14;2;GIG;MIA;Ida e volta;2019-08-28 01:25:00;2019-09-02 18:05:00;R$ 2.433;0;1;0;
107;2019-08-13;1;GIG;MIA;Ida e volta;2019-08-28 06:30:00;2019-09-01 16:15:00;R$ 2.396;0;1;0;
108;2019-08-23;1;SCL;GIG;Somente ida;2019-08-28 15:45:00;;R$ 2.582;53.000;2;0;
109;2019-08-26;1;LIS;AMS;Somente ida;2019-08-28 18:25:00;;R$ 1.113;40.000;1;0;
110;2019-08-20;1;BCN;GIG;Somente ida;2019-08-28 20:20:00;;R$ 0;158.000;2;0;
111;2019-08-20;1;SCL;GIG;Somente ida;2019-08-29 04:03:00;;R$ 1.906;43.000;2;0;
112;2019-08-12;1;GIG;BOG;Ida e volta;2019-08-29 06:30:00;2019-09-03 21:15:00;R$ 2.434;0;1;0;
113;2019-08-05;2;MIA;YYZ;Somente ida;2019-08-29 20:45:00;;R$ 486;17.000;1;0;
114;2019-08-03;1;GIG;MIA;Somente ida;2019-08-30 11:30:00;;R$ 1.601;54.000;1;0;
115;2019-08-04;1;GIG;IOS;Somente ida;2019-08-30 11:40:00;;R$ 489;0;1;0;
116;2019-08-29;2;MIA;GIG;Somente ida;2019-08-30 19:40:00;;R$ 1.885;53.068;1;0;
117;2019-08-07;1;MIA;YYZ;Somente ida;2019-08-30 20:45:00;;R$ 694;27.000;1;0;
118;2019-08-11;1;GIG;SCL;Ida e volta;2019-08-31 18:10:00;2019-09-30 13:57:00;R$ 1.467;31.500;1;0;
119;2019-08-23;1;GIG;BOG;Somente ida;2019-08-31 18:10:00;;R$ 952;20.000;1;0;
120;2019-08-31;1;SCL;EZE;Somente ida;2019-09-01 15:00:00;;R$ 1.074;21.800;2;0;
121;2019-08-31;1;GIG;MIA;Somente ida;2019-09-01 20:40:00;;R$ 1.437;40.000;1;0;
122;2019-08-15;2;GIG;MIA;Ida e volta;2019-09-02 05:30:00;2019-09-16 16:15:00;R$ 8.380;0;2;2;
123;2019-08-08;1;GIG;MCO;Ida e volta;2019-09-02 06:30:00;2019-10-02 15:05:00;R$ 2.694;0;1;0;
124;2019-08-26;2;GIG;IOS;Somente ida;2019-09-02 08:00:00;;R$ 1.330;0;1;0;
125;2019-08-08;2;MIA;GIG;Somente ida;2019-09-02 19:55:00;;R$ 9.992;240.000;2;0;
126;2019-08-11;1;MIA;YYZ;Somente ida;2019-09-02 20:45:00;;R$ 453;17.000;1;0;
127;2019-08-11;1;MIA;YYZ;Somente ida;2019-09-02 20:45:00;;R$ 453;17.000;1;0;
128;2019-08-23;2;MIA;GIG;Somente ida;2019-09-02 22:55:00;;R$ 1.459;40.000;1;0;
129;2019-08-29;1;GIG;CUN;Ida e volta;2019-09-03 01:25:00;2019-09-08 14:08:00;R$ 6.437;0;2;0;
130;2019-08-24;2;GIG;BOG;Ida e volta;2019-09-03 11:30:00;2019-09-09 18:08:00;R$ 10.943;0;4;3;
131;2019-08-24;2;GIG;BOG;Ida e volta;2019-09-03 11:30:00;2019-09-09 18:08:00;R$ 11.017;0;4;3;
132;2019-08-30;1;EZE;GIG;Somente ida;2019-09-03 16:30:00;;R$ 1.618;35.000;2;0;
133;2019-08-19;1;GIG;BOG;Somente ida;2019-09-03 23:05:00;;R$ 785;18.000;1;0;
134;2019-08-30;1;SCL;GIG;Somente ida;2019-09-04 05:33:00;;R$ 1.065;26.500;1;0;
135;2019-08-22;1;GIG;EZE;Somente ida;2019-09-04 07:10:00;;R$ 611;0;1;0;
136;2019-09-01;1;GIG;EZE;Somente ida;2019-09-04 17:10:00;;R$ 537;16.000;1;0;
137;2019-08-26;2;EZE;GIG;Somente ida;2019-09-04 17:15:00;;R$ 1.533;36.000;2;0;
138;2019-08-12;2;GIG;MIA;Ida e volta;2019-09-05 05:30:00;2019-09-16 16:15:00;R$ 2.362;0;1;0;
139;2019-08-15;1;GIG;EZE;Somente ida;2019-09-05 06:35:00;;R$ 488;15.000;1;0;
140;2019-09-05;2;BCN;LIS;Somente ida;2019-09-06 06:55:00;;R$ 718;0;1;0;
141;2019-08-25;1;BCN;GIG;Somente ida;2019-09-06 09:30:00;;R$ 2.716;0;1;0;
142;2019-08-19;1;EZE;SCL;Somente ida;2019-09-06 09:55:00;;R$ 373;0;1;0;
143;2019-08-01;1;GIG;LIS;Ida e volta;2019-09-06 21:50:00;2019-09-20 07:20:00;R$ 4.542;0;1;0;
144;2019-08-20;1;SCL;EZE;Somente ida;2019-09-07 06:25:00;;R$ 695;0;2;0;
145;2019-08-06;1;GIG;IOS;Ida e volta;2019-09-07 09:00:00;2019-09-14 13:20:00;R$ 1.909;0;2;0;
146;2019-08-19;1;GIG;SCL;Somente ida;2019-09-07 11:30:00;;R$ 833;19.000;1;0;
147;2019-08-13;1;EZE;GIG;Somente ida;2019-09-07 17:15:00;;R$ 726;16.200;1;0;
148;2019-09-04;1;MIA;GIG;Somente ida;2019-09-07 22:50:00;;R$ 1.556;40.000;1;0;
149;2019-09-06;3;EZE;GIG;Somente ida;2019-09-08 04:10:00;;R$ 1.574;31.000;2;0;
150;2019-09-06;3;EZE;GIG;Somente ida;2019-09-08 04:10:00;;R$ 800;15.500;1;0;
151;2019-09-06;3;EZE;GIG;Somente ida;2019-09-08 04:10:00;;R$ 800;15.500;1;0;
152;2019-09-06;1;EZE;GIG;Somente ida;2019-09-08 04:10:00;;R$ 1.574;31.000;2;0;
153;2019-09-05;3;EZE;GIG;Somente ida;2019-09-08 04:10:00;;R$ 1.520;31.000;2;0;
154;2019-09-05;1;GIG;EZE;Ida e volta;2019-09-08 14:25:00;2019-09-13 10:35:00;R$ 2.000;0;1;0;
155;2019-09-02;1;GIG;LIS;Ida e volta;2019-09-08 19:10:00;2019-11-23 08:30:00;R$ 5.562;0;1;0;
156;2019-08-25;1;EZE;GIG;Somente ida;2019-09-09 02:45:00;;R$ 779;18.000;1;0;
157;2019-08-29;1;EZE;GIG;Somente ida;2019-09-09 02:45:00;;R$ 789;17.500;1;0;
158;2019-09-04;1;SCL;GIG;Somente ida;2019-09-09 06:00:00;;R$ 1.013;0;1;0;
159;2019-09-04;2;LIS;GIG;Somente ida;2019-09-09 12:05:00;;R$ 5.502;217.250;2;1;
160;2019-08-18;1;IOS;GIG;Somente ida;2019-09-09 15:35:00;;R$ 627;0;1;0;
161;2019-08-23;1;GIG;LIS;Ida e volta;2019-09-09 15:40:00;2019-09-23 12:05:00;R$ 12.573;388.000;2;0;
162;2019-09-07;1;LIS;GIG;Somente ida;2019-09-09 16:30:00;;R$ 3.199;91.000;2;0;
163;2019-09-03;1;EZE;GIG;Somente ida;2019-09-09 17:15:00;;R$ 834;17.500;1;0;
164;2019-08-16;1;GIG;LIS;Ida e volta;2019-09-09 21:00:00;2020-02-14 08:25:00;R$ 3.993;0;1;0;
165;2019-08-29;1;LIS;GIG;Somente ida;2019-09-09 23:30:00;;R$ 1.764;53.000;1;0;
166;2019-09-03;1;EZE;GIG;Somente ida;2019-09-10 04:30:00;;R$ 4.800;0;6;0;
167;2019-08-30;1;SCL;GIG;Somente ida;2019-09-10 13:39:00;;R$ 908;21.500;1;0;
168;2019-08-30;1;SCL;GIG;Somente ida;2019-09-10 15:05:00;;R$ 908;25.000;1;0;
169;2019-08-02;2;IOS;GIG;Somente ida;2019-09-10 16:40:00;;R$ 377;0;1;0;
170;2019-08-28;1;MIA;GIG;Somente ida;2019-09-10 22:50:00;;R$ 1.683;46.655;1;0;
171;2019-08-16;1;LIS;GIG;Somente ida;2019-09-11 07:20:00;;R$ 1.691;45.500;1;0;
172;2019-08-13;2;LIS;GIG;Somente ida;2019-09-11 07:20:00;;R$ 1.684;45.500;1;0;
173;2019-09-10;1;RAO;GIG;Somente ida;2019-09-11 08:00:00;;R$ 788;0;1;0;
174;2019-09-08;2;SCL;EZE;Somente ida;2019-09-11 08:50:00;;R$ 546;12.000;1;0;
175;2019-08-03;1;GIG;BOG;Somente ida;2019-09-11 11:30:00;;R$ 856;16.000;1;0;
176;2019-09-09;1;LIS;GIG;Somente ida;2019-09-11 14:20:00;;R$ 3.220;91.000;2;0;
177;2019-08-11;1;GIG;LIS;Somente ida;2019-09-11 15:40:00;;R$ 2.383;99.500;1;0;
178;2019-08-23;1;GIG;LIS;Ida e volta;2019-09-11 15:40:00;2019-09-23 12:05:00;R$ 11.316;388.000;2;0;
179;2019-08-19;2;GIG;LIS;Ida e volta;2019-09-11 21:10:00;2019-09-23 12:05:00;R$ 10.416;357.000;2;0;
180;2019-08-25;2;SCL;BOG;Somente ida;2019-09-12 01:16:00;;R$ 972;20.400;1;0;
181;2019-09-08;1;GIG;MCO;Somente ida;2019-09-12 01:25:00;;R$ 6.278;224.000;1;1;
182;2019-09-07;1;GIG;FEN;Ida e volta;2019-09-12 05:35:00;2019-09-17 15:40:00;R$ 2.101;76.000;1;0;
183;2019-09-10;1;GIG;EZE;Ida e volta;2019-09-12 07:35:00;2019-09-16 17:15:00;R$ 1.255;31.000;1;0;
184;2019-08-29;1;EZE;SCL;Somente ida;2019-09-12 15:20:00;;R$ 374;0;1;0;
185;2019-08-29;1;EZE;SCL;Somente ida;2019-09-12 15:20:00;;R$ 374;0;1;0;
186;2019-08-29;1;EZE;SCL;Somente ida;2019-09-12 15:20:00;;R$ 374;0;1;0;
187;2019-08-29;2;EZE;SCL;Somente ida;2019-09-12 15:20:00;;R$ 371;0;1;0;
188;2019-09-11;1;GIG;SCL;Somente ida;2019-09-12 17:10:00;;R$ 1.586;0;2;0;
189;2019-09-07;1;EZE;GIG;Ida e volta;2019-09-12 17:15:00;2019-09-23 21:40:00;R$ 1.424;31.000;1;0;
190;2019-08-11;2;BCN;GIG;Somente ida;2019-09-12 18:50:00;;R$ 1.700;45.500;1;0;
191;2019-08-13;1;GIG;LIS;Somente ida;2019-09-12 21:10:00;;R$ 2.384;99.500;1;0;
192;2019-08-31;1;GIG;LIS;Somente ida;2019-09-12 21:40:00;;R$ 3.445;88.400;1;0;
193;2019-08-31;1;GIG;LIS;Somente ida;2019-09-12 21:40:00;;R$ 5.858;184.680;1;1;
194;2019-08-29;1;GIG;EZE;Ida e volta;2019-09-13 06:35:00;2019-09-20 15:20:00;R$ 1.533;0;1;0;
195;2019-08-13;1;BCN;GIG;Somente ida;2019-09-13 07:10:00;;R$ 1.700;45.500;1;0;
196;2019-09-11;1;GIG;EZE;Somente ida;2019-09-13 18:00:00;;R$ 853;19.250;1;0;
197;2019-09-08;1;RAO;GIG;Somente ida;2019-09-13 21:10:00;;R$ 303;8.800;1;0;
198;2019-08-21;1;GIG;FEN;Ida e volta;2019-09-14 05:30:00;2019-09-21 17:00:00;R$ 2.391;0;1;0;
199;2019-08-28;1;GIG;SCL;Ida e volta;2019-09-14 10:55:00;2019-09-21 18:50:00;R$ 2.106;0;2;0;
200;2019-08-22;1;IOS;RAO;Somente ida;2019-09-14 12:55:00;;R$ 0;0;1;0;
201;2019-08-14;1;EZE;GIG;Somente ida;2019-09-14 16:00:00;;R$ 750;17.100;1;0;
202;2019-09-09;1;GIG;SCL;Somente ida;2019-09-14 17:10:00;;R$ 1.353;42.000;2;0;
203;2019-08-09;1;GIG;EZE;Ida e volta;2019-09-15 07:35:00;2019-09-25 17:15:00;R$ 1.242;32.400;1;0;
204;2019-08-25;2;MIA;GIG;Somente ida;2019-09-15 09:20:00;;R$ 3.259;90.200;2;0;
205;2019-08-28;1;GIG;MIA;Ida e volta;2019-09-15 11:30:00;2019-10-15 18:05:00;R$ 5.120;0;2;0;
206;2019-08-28;1;GIG;MIA;Ida e volta;2019-09-15 11:30:00;2019-09-25 07:58:00;R$ 2.560;0;1;0;
207;2019-08-15;1;GIG;LIS;Somente ida;2019-09-15 15:40:00;;R$ 5.202;158.000;2;0;
208;2019-08-09;1;GIG;LIS;Somente ida;2019-09-15 21:10:00;;R$ 2.383;79.000;1;0;
209;2019-08-21;1;GIG;LIS;Ida e volta;2019-09-15 23:15:00;2019-10-04 12:30:00;R$ 12.890;0;3;0;
210;2019-08-21;1;GIG;LIS;Ida e volta;2019-09-15 23:15:00;2019-10-13 12:30:00;R$ 9.871;0;2;0;
211;2019-08-17;1;GIG;SCL;Ida e volta;2019-09-15 23:45:00;2019-09-22 18:50:00;R$ 1.140;0;1;0;
212;2019-09-14;2;LIS;GIG;Somente ida;2019-09-16 16:30:00;;R$ 1.650;45.500;1;0;
213;2019-08-16;1;IOS;EZE;Somente ida;2019-09-16 16:40:00;;R$ 710;13.590;1;0;
214;2019-08-12;1;GIG;BCN;Ida e volta;2019-09-16 22:10:00;2019-10-05 18:50:00;R$ 4.944;0;1;0;
215;2019-09-13;2;GIG;FEN;Somente ida;2019-09-17 06:40:00;;R$ 1.670;0;1;0;
216;2019-08-18;1;GIG;IOS;Ida e volta;2019-09-17 11:40:00;2019-09-24 15:50:00;R$ 3.479;0;2;2;
217;2019-08-23;1;GIG;LIS;Ida e volta;2019-09-17 15:40:00;2019-09-29 23:30:00;R$ 5.502;178.500;1;0;
218;2019-09-02;1;GIG;SCL;Ida e volta;2019-09-17 17:10:00;2019-12-22 02:15:00;R$ 1.437;0;1;0;
219;2019-09-05;1;GIG;MIA;Somente ida;2019-09-17 20:40:00;;R$ 2.988;76.000;1;1;
220;2019-09-02;1;EZE;GIG;Somente ida;2019-09-18 04:30:00;;R$ 751;0;1;0;
221;2019-09-13;1;SCL;GIG;Somente ida;2019-09-18 12:13:00;;R$ 1.425;35.400;1;0;
222;2019-09-16;1;GIG;LIS;Ida e volta;2019-09-18 15:40:00;2019-10-02 12:05:00;R$ 6.130;214.500;1;0;
223;2019-08-25;1;GIG;SCL;Ida e volta;2019-09-18 17:10:00;2019-09-25 13:39:00;R$ 2.975;64.000;2;0;
224;2019-08-27;1;GIG;LIS;Ida e volta;2019-09-18 21:10:00;2019-09-29 23:30:00;R$ 5.498;178.500;1;0;
225;2019-08-30;1;GIG;LIS;Somente ida;2019-09-18 21:10:00;;R$ 1.757;53.000;1;0;
226;2019-08-21;1;GIG;MCO;Ida e volta;2019-09-18 22:00:00;2019-09-29 19:25:00;R$ 6.866;0;2;0;
227;2019-08-17;1;IOS;GIG;Somente ida;2019-09-19 15:50:00;;R$ 953;0;2;0;
228;2019-08-11;1;IOS;GIG;Somente ida;2019-09-19 15:50:00;;R$ 480;0;1;0;
229;2019-09-17;1;BCN;GIG;Somente ida;2019-09-19 18:50:00;;R$ 1.669;45.500;1;0;
230;2019-09-10;1;GIG;LIS;Somente ida;2019-09-19 21:10:00;;R$ 1.579;79.000;1;0;
231;2019-09-06;1;GIG;EZE;Somente ida;2019-09-19 21:40:00;;R$ 626;15.500;1;0;
232;2019-09-04;2;GIG;EZE;Ida e volta;2019-09-19 21:40:00;2019-09-23 17:15:00;R$ 4.772;108.000;2;1;
233;2019-09-05;1;GIG;EZE;Ida e volta;2019-09-19 21:40:00;2019-09-23 17:15:00;R$ 4.537;93.000;2;1;
234;2019-09-18;1;LIS;GIG;Somente ida;2019-09-19 23:30:00;;R$ 219;158.000;2;0;
235;2019-09-13;1;GIG;MCO;Somente ida;2019-09-20 01:25:00;;R$ 1.674;54.000;1;0;
236;2019-09-10;1;GIG;MCO;Somente ida;2019-09-20 11:30:00;;R$ 3.343;108.000;2;0;
237;2019-09-13;2;GIG;LIS;Somente ida;2019-09-20 15:40:00;;R$ 1.732;53.000;1;0;
